City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nizhniy Chir,RU,48.3597,43.0865,49.14,86,100,23.11,overcast clouds
1,Yuzhno-Kurilsk,RU,44.0306,145.8556,47.32,99,76,10.51,broken clouds
2,Bonthe,SL,7.5264,-12.505,81.09,82,22,5.88,few clouds
3,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,1.14,clear sky
4,Bethel,US,41.3712,-73.414,78.35,46,40,8.05,scattered clouds
5,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,33,3.76,scattered clouds
6,Isangel,VU,-19.55,169.2667,75.51,68,100,20.09,overcast clouds
7,Bac Lieu,VN,9.285,105.7244,83.07,77,100,5.53,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,77.54,81,6,20.42,clear sky
9,Yellowknife,CA,62.456,-114.3525,37.27,72,100,4.0,overcast clouds
10,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,1.14,scattered clouds
11,Butaritari,KI,3.0707,172.7902,80.67,76,99,10.0,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,61.32,82,0,4.0,clear sky
13,Kitgum,UG,3.2783,32.8867,70.52,74,100,2.8,overcast clouds
14,Barrow,US,71.2906,-156.7887,30.22,80,100,14.97,overcast clouds
15,Albany,US,42.6001,-73.9662,80.42,17,2,3.0,clear sky
16,Kodiak,US,57.79,-152.4072,53.11,28,0,11.5,clear sky
17,Yulara,AU,-25.2406,130.9889,48.04,49,76,6.91,broken clouds
18,Riyadh,SA,24.6877,46.7219,89.74,13,0,19.62,clear sky
19,Hermanus,ZA,-34.4187,19.2345,58.3,79,0,6.31,clear sky
20,Jaen,ES,38.0,-3.5,72.93,31,100,5.01,overcast clouds
21,Carutapera,BR,-1.195,-46.02,78.37,90,75,5.32,light rain
22,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,6.91,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,49.66,57,75,16.11,broken clouds
24,Sitka,US,57.0531,-135.33,51.69,50,75,9.22,broken clouds
25,Agadir,MA,30.4202,-9.5982,77.45,36,100,1.63,overcast clouds
26,Souillac,MU,-20.5167,57.5167,75.58,88,40,1.14,scattered clouds
27,Lebu,CL,-37.6167,-73.65,57.02,69,100,4.29,overcast clouds
28,Gannan,CN,47.9147,123.5031,37.69,40,36,7.85,scattered clouds
29,Camacha,PT,33.0833,-16.3333,63.82,82,75,10.36,broken clouds
30,Severo-Kurilsk,RU,50.6789,156.125,39.22,88,67,8.46,broken clouds
31,Iracoubo,GF,5.4802,-53.2011,79.79,83,12,10.94,few clouds
32,Grindavik,IS,63.8424,-22.4338,39.67,65,100,4.61,overcast clouds
33,Katsuura,JP,35.1333,140.3,65.01,90,100,5.21,overcast clouds
34,Mahebourg,MU,-20.4081,57.7,75.49,88,40,1.14,scattered clouds
35,Ilulissat,GL,69.2167,-51.1,28.42,50,0,12.66,clear sky
36,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,0,10.36,clear sky
37,Shcherbynivka,UA,48.3949,37.791,50.45,68,100,8.86,overcast clouds
38,Hobart,AU,-42.8794,147.3294,50.05,91,0,5.75,clear sky
39,Castro,BR,-24.7911,-50.0119,64.22,75,25,4.25,scattered clouds
40,Walvis Bay,NA,-22.9575,14.5053,59.09,51,56,13.22,broken clouds
41,Port Alfred,ZA,-33.5906,26.891,61.61,77,0,9.19,clear sky
42,Atuona,PF,-9.8,-139.0333,78.78,69,0,18.21,clear sky
43,Kaduqli,SD,11.0167,29.7167,89.19,36,96,3.24,overcast clouds
44,Yatou,CN,37.15,122.3833,49.84,86,38,4.88,scattered clouds
45,Chokurdakh,RU,70.6333,147.9167,12.11,92,100,11.18,overcast clouds
46,Hithadhoo,MV,-0.6,73.0833,83.66,75,91,15.99,overcast clouds
47,Nisia Floresta,BR,-6.0911,-35.2086,79.61,90,100,5.95,light rain
48,Constitucion,CL,-35.3333,-72.4167,61.02,58,100,8.61,overcast clouds
49,Lokosovo,RU,61.1333,74.8167,51.3,60,100,7.76,overcast clouds
50,Ahipara,NZ,-35.1667,173.1667,51.96,72,0,5.97,clear sky
51,Ugoofaaru,MV,5.6667,73.0,84.04,75,72,17.74,broken clouds
52,Pevek,RU,69.7008,170.3133,25.52,96,100,7.29,snow
53,Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
54,Imperia,IT,43.9667,7.7833,63.09,92,14,3.29,few clouds
55,Khatanga,RU,71.9667,102.5,20.28,93,25,12.3,scattered clouds
56,Marawi,PH,7.9986,124.2928,69.17,93,82,1.86,broken clouds
