City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yuancheng,CN,36.652,107.7896,47.37,36,100,1.7,overcast clouds
1,Benguela,AO,-12.5763,13.4055,74.05,86,5,4.38,clear sky
2,Mayumba,GA,-3.432,10.6554,77.4,93,99,5.7,overcast clouds
3,Manyana,BW,-23.4,21.7167,62.85,28,4,2.95,clear sky
4,Jinka,ET,5.65,36.65,68.02,63,65,3.85,broken clouds
5,San Patricio,US,28.017,-97.5169,93.92,43,3,15.95,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,30.36,62,50,2.13,scattered clouds
7,Mataura,NZ,-46.1927,168.8643,52.48,97,100,3.36,overcast clouds
8,Codrington,AU,-38.2667,141.9667,62.17,71,100,17.92,light rain
9,Rikitea,PF,-23.1203,-134.9692,77.61,73,99,19.48,overcast clouds
10,Dikson,RU,73.5069,80.5464,32.81,98,100,13.67,overcast clouds
11,Kokkola,FI,63.8385,23.1307,44.76,71,0,4.61,clear sky
12,Freeport,US,40.6576,-73.5832,75.27,76,100,9.22,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,42.46,93,75,10.36,broken clouds
14,Avarua,CK,-21.2078,-159.775,82.45,83,100,11.5,overcast clouds
15,Great Falls,US,47.5002,-111.3008,52.25,25,75,31.07,broken clouds
16,Ugep,NG,5.8086,8.0812,76.35,93,31,6.8,scattered clouds
17,Wakkanai,JP,45.4094,141.6739,43.29,97,100,22.88,overcast clouds
18,Kapaa,US,22.0752,-159.319,80.92,75,20,16.11,few clouds
19,Kavieng,PG,-2.5744,150.7967,81.43,75,66,10.31,broken clouds
20,Alofi,NU,-19.0595,-169.9187,76.89,65,40,8.05,scattered clouds
21,Okahandja,NA,-21.9833,16.9167,60.51,27,0,6.2,clear sky
22,Asau,RO,46.4333,26.4,60.96,96,100,3.85,overcast clouds
23,Bredasdorp,ZA,-34.5322,20.0403,56.1,71,100,7.61,overcast clouds
24,Jamestown,US,42.097,-79.2353,79.52,51,75,14.97,broken clouds
25,Ponta Delgada,PT,37.7333,-25.6667,67.5,82,40,11.5,scattered clouds
26,Vaini,TO,-21.2,-175.2,75.36,69,20,12.66,few clouds
27,Busselton,AU,-33.65,115.3333,60.53,71,96,16.33,overcast clouds
28,Hilo,US,19.7297,-155.09,83.28,71,75,7.0,broken clouds
29,Poplar Bluff,US,36.757,-90.3929,85.33,73,0,8.05,clear sky
30,Lorengau,PG,-2.0226,147.2712,81.12,72,39,7.56,scattered clouds
