City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebowakgomo,ZA,2022-05-05 00:53:53,-24.2,29.5,54.5,68,0,3.44
1,Manta,EC,2022-05-05 00:53:53,-0.95,-80.7333,78.58,78,75,9.22
2,Manono,CD,2022-05-05 00:53:54,-7.3,27.4167,67.41,83,46,4.21
3,East London,ZA,2022-05-05 00:53:54,-33.0153,27.9116,64.44,81,27,4.54
4,Talaya,RU,2022-05-05 00:53:55,61.3833,152.75,30.94,81,28,1.68
5,Rikitea,PF,2022-05-05 00:53:55,-23.1203,-134.9692,77.63,84,92,20.47
6,Sao Joao Da Barra,BR,2022-05-05 00:53:56,-21.6403,-41.0511,77.5,87,93,16.08
7,Codrington,AU,2022-05-05 00:53:56,-38.2667,141.9667,53.46,63,84,6.6
8,Sisophon,KH,2022-05-05 00:53:57,13.5859,102.9737,79.23,64,99,4.76
9,Port Elizabeth,ZA,2022-05-05 00:52:13,-33.918,25.5701,60.1,94,20,3.44
10,Avarua,CK,2022-05-05 00:53:57,-21.2078,-159.775,82.45,69,40,10.36
11,Mataura,NZ,2022-05-05 00:53:58,-46.1927,168.8643,58.48,53,40,2.33
12,Pedro Ii,BR,2022-05-05 00:53:58,-4.4247,-41.4586,69.6,80,37,2.51
13,Kaeo,NZ,2022-05-05 00:53:59,-35.1,173.7833,67.32,85,22,10.92
14,Nikolskoye,RU,2022-05-05 00:52:39,59.7035,30.7861,37.8,70,87,6.29
15,Puerto Ayora,EC,2022-05-05 00:54:00,-0.7393,-90.3518,73.26,91,41,4.9
16,Ust-Omchug,RU,2022-05-05 00:54:00,61.15,149.6333,31.53,93,71,4.88
17,Atuona,PF,2022-05-05 00:54:00,-9.8,-139.0333,79.27,74,11,15.99
18,Albany,US,2022-05-05 00:54:01,42.6001,-73.9662,55.38,87,100,4.54
19,Margate,GB,2022-05-05 00:54:01,51.3813,1.3862,52.7,90,11,4.0
20,Ha Tinh,VN,2022-05-05 00:54:02,18.3333,105.9,73.65,61,10,2.06
21,Shingu,JP,2022-05-05 00:54:02,33.7333,135.9833,68.2,48,100,3.24
22,Busselton,AU,2022-05-05 00:54:03,-33.65,115.3333,56.48,53,0,16.26
23,Chokurdakh,RU,2022-05-05 00:54:03,70.6333,147.9167,21.52,83,100,4.27
24,Hermanus,ZA,2022-05-05 00:54:04,-34.4187,19.2345,58.8,81,14,7.78
25,Kapaa,US,2022-05-05 00:54:04,22.0752,-159.319,82.38,84,16,5.01
26,Ribeira Grande,PT,2022-05-05 00:54:05,38.5167,-28.7,62.8,86,100,17.05
27,Tuktoyaktuk,CA,2022-05-05 00:54:05,69.4541,-133.0374,26.6,93,100,13.8
28,Hobart,AU,2022-05-05 00:54:06,-42.8794,147.3294,55.26,80,20,8.05
29,Husavik,IS,2022-05-05 00:54:06,66.0449,-17.3389,31.55,91,100,2.8
30,Kajaani,FI,2022-05-05 00:54:07,64.2273,27.7285,21.25,86,0,3.44
31,Luderitz,NA,2022-05-05 00:54:07,-26.6481,15.1594,68.72,47,0,3.15
32,Sulangan,PH,2022-05-05 00:54:08,11.1373,123.7228,82.85,74,100,11.39
33,Matara,LK,2022-05-05 00:54:08,5.9485,80.5353,78.8,88,100,9.42
34,Bluff,NZ,2022-05-05 00:54:09,-46.6,168.3333,58.8,70,66,5.19
35,Yellowknife,CA,2022-05-05 00:54:09,62.456,-114.3525,39.72,81,100,11.5
36,Jamestown,US,2022-05-05 00:53:04,42.097,-79.2353,53.19,93,100,3.44
37,Jaque,PA,2022-05-05 00:54:10,7.5175,-78.1703,80.08,86,100,4.9
38,Sydney,AU,2022-05-05 00:53:12,-33.8679,151.2073,71.71,72,75,8.05
39,Goderich,CA,2022-05-05 00:54:11,43.7501,-81.7165,43.12,81,10,9.22
40,New Norfolk,AU,2022-05-05 00:54:11,-42.7826,147.0587,54.91,65,47,2.57
41,Adrar,MR,2022-05-05 00:54:12,20.5022,-10.0711,77.95,19,10,11.48
42,Enumclaw,US,2022-05-05 00:54:12,47.2043,-121.9915,67.15,57,100,5.01
43,Biak,ID,2022-05-05 00:55:13,-0.9131,122.8766,82.81,70,97,3.65
44,Wuzhou,CN,2022-05-05 00:55:14,23.4833,111.3167,75.22,62,95,1.05
45,Pevek,RU,2022-05-05 00:55:14,69.7008,170.3133,21.79,83,100,7.67
46,Palauig,PH,2022-05-05 00:55:14,15.435,119.9045,85.32,66,15,2.19
47,Ilulissat,GL,2022-05-05 00:55:15,69.2167,-51.1,6.39,96,67,4.07
48,Barrow,US,2022-05-05 00:55:15,71.2906,-156.7887,17.91,87,55,12.66
49,Cairns,AU,2022-05-05 00:55:16,-16.9167,145.7667,87.12,73,40,9.22
50,Quimperle,FR,2022-05-05 00:55:16,47.8667,-3.55,50.72,83,0,2.3
51,Punta Arenas,CL,2022-05-05 00:55:17,-53.15,-70.9167,42.91,81,75,17.27
52,Ornskoldsvik,SE,2022-05-05 00:55:17,63.2909,18.7153,34.75,93,100,4.61
53,Mar Del Plata,AR,2022-05-05 00:55:18,-38.0023,-57.5575,57.87,71,0,13.0
